,received_date,externorderno,sku_desc,received_qty,remarks,reason,comment,unnamed:_7
0,2024-06-11T00:00:00.000,205-3060216-1954731,Reynolds-Tan-7,1,Refunded,No Reason,Unknown,Unknown
1,2024-06-11T00:00:00.000,949347083-OFH-A,Kensal-Chocolate-06,1,Refunded,No Reason,Unknown,Unknown
2,2024-06-11T00:00:00.000,949367658-OFH-A,Storm-Brown-Suede-8,1,Refunded,No Reason,Unknown,Unknown
3,2024-06-11T00:00:00.000,944593897-OFH-A,Soho-Silver-05,1,Refunded,too small/ big,Unknown,Unknown
4,2024-06-11T00:00:00.000,944994524-OFH-A,Bond-Black-05,1,Refunded,too small/ big,Unknown,Unknown
5,2024-06-11T00:00:00.000,945127412-OFH-A,Bond-Black-04,1,Refunded,too small/ big,Unknown,Unknown
6,2024-06-11T00:00:00.000,945317869-OFH-A,Brixton-Black-06,1,Refunded,too small/ big,Unknown,Unknown
7,2024-06-11T00:00:00.000,945553056-OFH-A,Hampton-Black-07,1,Refunded,too small/ big,Unknown,Unknown
8,2024-06-11T00:00:00.000,945884507-OFH-A,Hoxton-Dark-Brown-08,1,Refunded,too small/ big,Unknown,Unknown
9,2024-06-11T00:00:00.000,946034300-OFH-A,FALCON-TAN-9,1,Refunded,too small/ big,Unknown,Unknown
10,2024-06-11T00:00:00.000,946035938-OFH-A,Ladbrook-Black-04,1,Refunded,too small/ big,Unknown,Unknown
11,2024-06-11T00:00:00.000,946193993-OFH-A,Addison-Black-Suede-10,1,Refunded,too small/ big,Unknown,Unknown
12,2024-06-11T00:00:00.000,946643158-OFH-A,Bank-Black-05,1,Refunded,too small/ big,Unknown,Unknown
13,2024-06-11T00:00:00.000,026-0998565-7791551,Farrel-Black-7,1,Refunded,too small/ big,Unknown,Unknown
14,2024-06-11T00:00:00.000,947082828-OFH-A,Bank-Black-05,1,Refunded,too small/ big,Unknown,Unknown
15,2024-06-11T00:00:00.000,947309998-OFH-A,Lane-Black-07,1,Refunded,too small/ big,Unknown,Unknown
16,2024-06-11T00:00:00.000,947396239-OFH-A,Hoxton-Gold-06,1,Refunded,too small/ big,Unknown,Unknown
17,2024-06-11T00:00:00.000,947781703-OFH-A,Tower-Black-04,1,Refunded,too small/ big,Unknown,Unknown
18,2024-06-11T00:00:00.000,947909660-OFH-A,Gamble-Velvet-Black-11,1,Refunded,too small/ big,Unknown,Unknown
19,2024-06-11T00:00:00.000,948083892-OFH-A,Bond-Black-06,1,Refunded,too small/ big,Unknown,Unknown
20,2024-06-11T00:00:00.000,DUX032511420-A,Nesser-Black-7,1,Refunded,too small/ big,Unknown,Unknown
21,2024-06-11T00:00:00.000,948207600-OFH-A,Hampton-Black-07,1,Refunded,too small/ big,Unknown,Unknown
22,2024-06-11T00:00:00.000,948358225-OFH-A,Clancy-Black-8,1,Refunded,too small/ big,Unknown,Unknown
23,2024-06-11T00:00:00.000,948490090-OFH-A,Lane-Black-06,1,Refunded,too small/ big,Unknown,Unknown
24,2024-06-11T00:00:00.000,948499243-OFH-A,Bromley-Black-06,1,Refunded,too small/ big,Unknown,Unknown
25,2024-06-11T00:00:00.000,948526933-OFH-A,Banks-Black-8,1,Refunded,too small/ big,Unknown,Unknown
26,2024-06-11T00:00:00.000,948542974-OFH-A,Grange-Black-05,1,Refunded,too small/ big,Unknown,Unknown
27,2024-06-11T00:00:00.000,948696907-OFH-A,FALCON-TAN-10,1,Refunded,too small/ big,Unknown,Unknown
28,2024-06-11T00:00:00.000,948834117-OFH-A,Morden-Black-06,1,Refunded,too small/ big,Unknown,Unknown
29,2024-06-11T00:00:00.000,DUX032650939-A,Bower-Black-10,1,Refunded,too small/ big,Unknown,Unknown
30,2024-06-11T00:00:00.000,948964112-OFH-A,Bromley-Black-07,1,Refunded,Unknown,Unknown,Unknown
31,2024-06-11T00:00:00.000,948970907-OFH-A,Romford-Cuoio-06,1,Refunded,too small/ big,Unknown,Unknown
32,2024-06-11T00:00:00.000,948996538-OFH-A,Brixton-Black-07,1,Refunded,too small/ big,Unknown,Unknown
33,2024-06-11T00:00:00.000,949105877-OFH-A,Brixton-Black-05,1,Refunded,too small/ big,Unknown,Unknown
34,2024-06-11T00:00:00.000,949276573-OFH-A,Devita-Wood-9,1,Refunded,too small/ big,Unknown,Unknown
35,2024-06-11T00:00:00.000,949373460-OFH-A,Kew-Black-Shine-06,1,Refunded,Unknown,Unknown,Unknown
36,2024-06-11T00:00:00.000,949383316-OFH-A,Hampton-Black-06,1,Refunded,Unknown,Unknown,Unknown
37,2024-06-11T00:00:00.000,949463523-OFH-A,Lucas-Black-9,1,Refunded,too small/ big,Unknown,Unknown
38,2024-06-11T00:00:00.000,949548596-OFH-A,Fagen-Black-9,1,Refunded,too small/ big,Unknown,Unknown
39,2024-06-11T00:00:00.000,DUX032776707-B,Farrel-Black-12,1,Refunded,too small/ big,Unknown,Unknown
40,2024-06-11T00:00:00.000,949594623-OFH-A,Devita-Wood-10,1,Refunded,too small/ big,Unknown,Unknown
41,2024-06-11T00:00:00.000,949678191-OFH-A,Clayton-Tan-9,1,Refunded,too small/ big,Unknown,Unknown
42,2024-06-11T00:00:00.000,949678699-OFH-A,Ladd-Black-8,1,Refunded,too small/ big,Unknown,Unknown
43,2024-06-11T00:00:00.000,949685378-OFH-A,Brixton-Black-06,1,Refunded,too small/ big,Unknown,Unknown
44,2024-06-11T00:00:00.000,949720026-OFH-A,Devita-Wood-8,1,Refunded,too small/ big,Unknown,Unknown
45,2024-06-11T00:00:00.000,949745859-OFH-A,Addison-Brown-Suede-8,1,Refunded,too small/ big,Unknown,Unknown
46,2024-06-11T00:00:00.000,949800887-OFH-A,Farrel-Tan-8,1,Refunded,too small/ big,Unknown,Unknown
47,2024-06-11T00:00:00.000,DUX032857617-A,Moray-Black-11,1,Refunded,too small/ big,Unknown,Unknown
48,2024-06-11T00:00:00.000,950048994-OFH-A,Bank-Black-05,1,Refunded,too small/ big,Unknown,Unknown
49,2024-06-11T00:00:00.000,950060681-OFH-A,Bond-Black-05,1,Refunded,too small/ big,Unknown,Unknown
50,2024-06-11T00:00:00.000,950173287-OFH-A,Farrel-Tan-11,1,Refunded,too small/ big,Unknown,Unknown
51,2024-06-11T00:00:00.000,DUX032903374-A,Clayton-Black-10,1,Refunded,too small/ big,Unknown,Unknown
52,2024-06-11T00:00:00.000,950347325-OFH-A,Cardew-Tan-9,1,Refunded,too small/ big,Unknown,Unknown
53,2024-06-11T00:00:00.000,944765257-OFH-A,Camden-Black-07,1,Refunded,don\'t like style,Unknown,Unknown
54,2024-06-11T00:00:00.000,944842463-OFH-A,Ladbrook-Black-03,1,Refunded,don\'t like style,Unknown,Unknown
55,2024-06-11T00:00:00.000,945715437-OFH-A,Farrel-Black-10,1,Refunded,too small/ big,Unknown,Unknown
56,2024-06-11T00:00:00.000,945832723-OFH-A,Lander-Black-7,1,Refunded,don\'t like style,Unknown,Unknown
57,2024-06-11T00:00:00.000,945872195-OFH-A,Ladd-Wood-9,1,Refunded,too small/ big,Unknown,Unknown
58,2024-06-11T00:00:00.000,946103657-OFH-A,Lander-Black-11,1,Refunded,don\'t like style,Unknown,Unknown
59,2024-06-11T00:00:00.000,946225513-OFH-A,Chase-Bordo-8,1,Refunded,too small/ big,Unknown,Unknown
60,2024-06-11T00:00:00.000,946830633-OFH-A,Lander-Black-10,1,Refunded,don\'t like style,Unknown,Unknown
61,2024-06-11T00:00:00.000,947058193-OFH-A,Devita-Black-9,1,Refunded,too small/ big,Unknown,Unknown
62,2024-06-11T00:00:00.000,947140934-OFH-A,Bromley-Black-04,1,Refunded,don\'t like style,Unknown,Unknown
63,2024-06-11T00:00:00.000,947164042-OFH-A,Bank-Black-06,1,Refunded,too small/ big,Unknown,Unknown
64,2024-06-11T00:00:00.000,947304870-OFH-A,Leo-Black-8,1,Refunded,don\'t like style,Unknown,Unknown
65,2024-06-11T00:00:00.000,947618420-OFH-A,Pinner-Tan-05,1,Refunded,don\'t like style,Unknown,Unknown
66,2024-06-11T00:00:00.000,DUX032356172-A,Canning-Black-05,1,Refunded,too small/ big,Unknown,Unknown
67,2024-06-11T00:00:00.000,947772549-OFH-A,Kensal-Black-06,1,Refunded,too small/ big,Unknown,Unknown
68,2024-06-11T00:00:00.000,947884099-OFH-A,Lucas-Brown-9,1,Refunded,too small/ big,Unknown,Unknown
69,2024-06-11T00:00:00.000,947996192-OFH-A,Cardew-Black-8,1,Refunded,don\'t like style,Unknown,Unknown
70,2024-06-11T00:00:00.000,948050073-OFH-A,Soho-Pink-05,1,Refunded,don\'t like style,Unknown,Unknown
71,2024-06-11T00:00:00.000,948053897-OFH-A,Bond-Black-05,1,Refunded,don\'t like style,Unknown,Unknown
72,2024-06-11T00:00:00.000,948094293-OFH-A,Bank-Black-04,1,Refunded,don\'t like style,Unknown,Unknown
73,2024-06-11T00:00:00.000,948097835-OFH-A,Clapton-Almond-08,1,Refunded,too small/ big,Unknown,Unknown
74,2024-06-11T00:00:00.000,948112675-OFH-A,Reggie-Black-10,1,Refunded,too small/ big,Unknown,Unknown
75,2024-06-11T00:00:00.000,948141746-OFH-A,Dixon-Black-7,1,Refunded,too small/ big,Unknown,Unknown
76,2024-06-11T00:00:00.000,948205622-OFH-A,Bromley-Black-05,1,Refunded,don\'t like style,Unknown,Unknown
77,2024-06-11T00:00:00.000,948243274-OFH-A,Fagen-Tan-8,1,Refunded,too small/ big,Unknown,Unknown
78,2024-06-11T00:00:00.000,948255539-OFH-A,Bond-Black-06,1,Refunded,don\'t like style,Unknown,Unknown
79,2024-06-11T00:00:00.000,948281262-OFH-A,Banks-Brown-10,1,Refunded,don\'t like style,Unknown,Unknown
80,2024-06-11T00:00:00.000,948288295-OFH-A,Kensal-Black-06,1,Refunded,don\'t like style,Unknown,Unknown
81,2024-06-11T00:00:00.000,948340631-OFH-A,Lane-Black-08,1,Refunded,too small/ big,Unknown,Unknown
82,2024-06-11T00:00:00.000,948360298-OFH-A,Farrel-Black-8,1,Refunded,don\'t like style,Unknown,Unknown
83,2024-06-11T00:00:00.000,948449368-OFH-A,Fetz-Tan-7,1,Refunded,don\'t like style,Unknown,Unknown
84,2024-06-11T00:00:00.000,948474372-OFH-A,Bromley-Black-06,1,Refunded,don\'t like style,Unknown,Unknown
85,2024-06-11T00:00:00.000,948636559-OFH-A,Boycie-Black-9,1,Refunded,don\'t like style,Unknown,Unknown
86,2024-06-11T00:00:00.000,948734244-OFH-A,Bromley-Black-06,1,Refunded,don\'t like style,Unknown,Unknown
87,2024-06-11T00:00:00.000,948755680-OFH-A,Cannon-Black-04,1,Refunded,don\'t like style,Unknown,Unknown
88,2024-06-11T00:00:00.000,948804927-OFH-A,Prior-Black-08,1,Refunded,too small/ big,Unknown,Unknown
89,2024-06-11T00:00:00.000,948834226-OFH-A,Addison-Brown-Suede-10,1,Refunded,too small/ big,Unknown,Unknown
90,2024-06-11T00:00:00.000,948848259-OFH-A,Addison-Brown-Suede-9,1,Refunded,don\'t like style,Unknown,Unknown
91,2024-06-11T00:00:00.000,948871274-OFH-A,Leo-Black-12,1,Refunded,too small/ big,Unknown,Unknown
92,2024-06-11T00:00:00.000,948902333-OFH-A,Bond-Black-07,1,Refunded,don\'t like style,Unknown,Unknown
93,2024-06-11T00:00:00.000,DUX032676311-A,Fetz-Tan-9,1,Refunded,don\'t like style,Unknown,Unknown
94,2024-06-11T00:00:00.000,949227616-OFH-A,Bromley-Spain-White-04,1,Refunded,don\'t like style,Unknown,Unknown
95,2024-06-11T00:00:00.000,949348038-OFH-A,Dekker-Wood-9,1,Refunded,don\'t like style,Unknown,Unknown
96,2024-06-11T00:00:00.000,949382602-OFH-A,Bank-Black-08,1,Refunded,don\'t like style,Unknown,Unknown
97,2024-06-11T00:00:00.000,DUX032744522-A,Camden-Black-08,1,Refunded,too small/ big,Unknown,Unknown
98,2024-06-11T00:00:00.000,949626067-OFH-A,Canning-Black-03,1,Refunded,don\'t like style,Unknown,Unknown
99,2024-06-11T00:00:00.000,DUX032804928-A,Reggie-Black-10,1,Refunded,too small/ big,Unknown,Unknown
100,2024-06-11T00:00:00.000,DUX032845191-A,Ladd-Wood-9,1,Refunded,too small/ big,Unknown,Unknown
101,2024-06-11T00:00:00.000,950008000-OFH-A,Bank-Black-06,1,Refunded,don\'t like style,Unknown,Unknown
102,2024-06-11T00:00:00.000,DUX032891901-B,Dekker-Black-10,1,Refunded,too small/ big,Unknown,Unknown
103,2024-06-11T00:00:00.000,942198735-OFH-A,Clayton-Black-Suede-10,1,Refunded,No Reason,Unknown,Unknown
